Sexo;Edad;Periodo;Total
Mujeres;32 años;2049;306.328,762118
Mujeres;32 años;2048;309.664,189128
Mujeres;32 años;2047;311.469,896254
Mujeres;32 años;2046;309.847,806869
Mujeres;32 años;2045;320.599,04808
Mujeres;32 años;2044;328.730,093245
Mujeres;32 años;2043;331.367,60023
Mujeres;32 años;2042;336.012,130664
Mujeres;32 años;2041;349.054,70146
Mujeres;32 años;2040;341.864,650961
Mujeres;32 años;2039;340.813,420384
Mujeres;32 años;2038;336.985,542246
Mujeres;32 años;2037;333.598,555241
Mujeres;32 años;2036;330.419,662269
Mujeres;32 años;2035;320.881,390289
Mujeres;32 años;2034;318.609,808337
Mujeres;32 años;2033;313.914,700188
Mujeres;32 años;2032;307.141,892191
Mujeres;32 años;2031;296.297,426741
Mujeres;32 años;2030;294.883,973144
Mujeres;32 años;2029;288.232,807706
Mujeres;32 años;2028;281.376,652845
Mujeres;32 años;2027;278.312,764179
Mujeres;32 años;2026;280.286,695816
Mujeres;32 años;2025;281.321,002105
Mujeres;32 años;2024;272.938,03744
Mujeres;32 años;2023;271.635,545521
Mujeres;32 años;2022;270.094,48535
Mujeres;33 años;2072;314.414,434253
Mujeres;33 años;2071;312.716,051113
Mujeres;33 años;2070;310.833,253788
Mujeres;33 años;2069;308.108,234595
Mujeres;33 años;2068;305.300,812084
Mujeres;33 años;2067;302.467,993693
Mujeres;33 años;2066;299.680,834654
Mujeres;33 años;2065;296.996,208911
Mujeres;33 años;2064;294.435,796999
Mujeres;33 años;2063;292.016,062502
Mujeres;33 años;2062;289.752,171088
Mujeres;33 años;2061;287.654,776441
Mujeres;33 años;2060;285.728,972244
Mujeres;33 años;2059;284.006,561012
Mujeres;33 años;2058;282.536,774743
Mujeres;33 años;2057;281.358,672351
Mujeres;33 años;2056;280.533,127827
Mujeres;33 años;2055;280.638,130414
Mujeres;33 años;2054;282.669,313898
Mujeres;33 años;2053;288.577,394889
Mujeres;33 años;2052;293.515,601617
Mujeres;33 años;2051;301.897,00895
Mujeres;33 años;2050;309.980,272849
Mujeres;33 años;2049;313.253,07431
Mujeres;33 años;2048;315.008,564372
Mujeres;33 años;2047;313.351,238642
Mujeres;33 años;2046;324.013,008309
Mujeres;33 años;2045;332.058,04268
Mujeres;33 años;2044;334.618,588601
Mujeres;33 años;2043;339.180,331428
Mujeres;33 años;2042;352.101,498975
Mujeres;33 años;2041;344.861,277932
Mujeres;33 años;2040;343.723,255618
Mujeres;33 años;2039;339.824,643239
Mujeres;33 años;2038;336.363,429358
Mujeres;33 años;2037;333.111,957281
Mujeres;33 años;2036;323.716,262219
Mujeres;33 años;2035;321.656,00116
Mujeres;33 años;2034;317.221,111819
Mujeres;33 años;2033;310.726,333291
Mujeres;33 años;2032;300.235,658581
Mujeres;33 años;2031;299.108,246512
Mujeres;33 años;2030;292.813,333332
Mujeres;33 años;2029;286.274,07059
Mujeres;33 años;2028;283.491,944118
Mujeres;33 años;2027;285.705,239247
Mujeres;33 años;2026;286.944,165596
Mujeres;33 años;2025;278.729,72871
Mujeres;33 años;2024;277.385,32683
Mujeres;33 años;2023;275.771,879773
Mujeres;33 años;2022;275.395,678848
Mujeres;34 años;2072;317.066,191284
Mujeres;34 años;2071;315.158,363782
Mujeres;34 años;2070;312.411,540359
Mujeres;34 años;2069;309.581,476759
Mujeres;34 años;2068;306.724,569237
Mujeres;34 años;2067;303.911,436658
Mujeres;34 años;2066;301.198,689674
Mujeres;34 años;2065;298.607,921499
Mujeres;34 años;2064;296.155,566251
Mujeres;34 años;2063;293.856,789204
Mujeres;34 años;2062;291.722,450851
Mujeres;34 años;2061;289.757,880356
Mujeres;34 años;2060;287.995,068518
Mujeres;34 años;2059;286.483,498856
Mujeres;34 años;2058;285.262,545714
Mujeres;34 años;2057;284.393,152497
Mujeres;34 años;2056;284.453,871367
Mujeres;34 años;2055;286.442,76789
Mujeres;34 años;2054;292.291,087082
Mujeres;34 años;2053;297.166,321127
Mujeres;34 años;2052;305.470,711145
Mujeres;34 años;2051;313.476,900373
Mujeres;34 años;2050;316.690,559052
Mujeres;34 años;2049;318.398,372362
Mujeres;34 años;2048;316.707,201773
Mujeres;34 años;2047;327.285,244137
Mujeres;34 años;2046;335.249,774123
Mujeres;34 años;2045;337.738,158742
Mujeres;34 años;2044;342.222,411208
Mujeres;34 años;2043;355.030,612
Mujeres;34 años;2042;347.742,835142
Mujeres;34 años;2041;346.523,575531
Mujeres;34 años;2040;342.558,422589
Mujeres;34 años;2039;339.027,425621
Mujeres;34 años;2038;335.707,663636
Mujeres;34 años;2037;326.272,105818
Mujeres;34 años;2036;324.311,086827
Mujeres;34 años;2035;320.075,860975
Mujeres;34 años;2034;313.847,551422
Mujeres;34 años;2033;303.676,820092
Mujeres;34 años;2032;302.822,928934
Mujeres;34 años;2031;296.846,875414
Mujeres;34 años;2030;290.638,975903
Mujeres;34 años;2029;288.162,750265
Mujeres;34 años;2028;290.625,267235
Mujeres;34 años;2027;292.115,854401
Mujeres;34 años;2026;284.136,874778
Mujeres;34 años;2025;282.815,155567
Mujeres;34 años;2024;281.203,236391
Mujeres;34 años;2023;280.716,230866
Mujeres;34 años;2022;279.363,268151
Mujeres;35 años;2072;319.316,060949
Mujeres;35 años;2071;316.547,64043
Mujeres;35 años;2070;313.695,153737
Mujeres;35 años;2069;310.814,432381
Mujeres;35 años;2068;307.975,667879
Mujeres;35 años;2067;305.235,267379
Mujeres;35 años;2066;302.614,732794
Mujeres;35 años;2065;300.130,478197
Mujeres;35 años;2064;297.797,687974
Mujeres;35 años;2063;295.627,423725
Mujeres;35 años;2062;293.625,258781
Mujeres;35 años;2061;291.823,33457
Mujeres;35 años;2060;290.271,41438
Mujeres;35 años;2059;289.009,161243
Mujeres;35 años;2058;288.097,593934
Mujeres;35 años;2057;288.115,85626
Mujeres;35 años;2056;290.064,370133
Mujeres;35 años;2055;295.856,405727
Mujeres;35 años;2054;300.672,240428
Mujeres;35 años;2053;308.904,473376
Mujeres;35 años;2052;316.838,426318
Mujeres;35 años;2051;319.996,148847
Mujeres;35 años;2050;321.658,581409
Mujeres;35 años;2049;319.934,655723
Mujeres;35 años;2048;330.434,501403
Mujeres;35 años;2047;338.323,661919
Mujeres;35 años;2046;340.744,152469
Mujeres;35 años;2045;345.155,706044
Mujeres;35 años;2044;357.858,832846
Mujeres;35 años;2043;350.525,486311
Mujeres;35 años;2042;349.229,808659
Mujeres;35 años;2041;345.201,669584
Mujeres;35 años;2040;341.604,673734
Mujeres;35 años;2039;338.220,272583
Mujeres;35 años;2038;328.746,03317
Mujeres;35 años;2037;326.716,397732
Mujeres;35 años;2036;322.576,706856
Mujeres;35 años;2035;316.556,155703
Mujeres;35 años;2034;306.687,423094
Mujeres;35 años;2033;306.084,196203
Mujeres;35 años;2032;300.410,057929
Mujeres;35 años;2031;294.500,776467
Mujeres;35 años;2030;292.344,091258
Mujeres;35 años;2029;295.082,184815
Mujeres;35 años;2028;296.831,711255
Mujeres;35 años;2027;289.130,527836
Mujeres;35 años;2026;287.913,907391
Mujeres;35 años;2025;286.358,809162
Mujeres;35 años;2024;285.829,960374
Mujeres;35 años;2023;284.420,946983
Mujeres;35 años;2022;287.638,933605
Mujeres;36 años;2072;320.529,157876
Mujeres;36 años;2071;317.654,711889
Mujeres;36 años;2070;314.750,698997
Mujeres;36 años;2069;311.886,921514
Mujeres;36 años;2068;309.119,58101
Mujeres;36 años;2067;306.470,126711
Mujeres;36 años;2066;303.954,946412
Mujeres;36 años;2065;301.589,24881
Mujeres;36 años;2064;299.384,30225
Mujeres;36 años;2063;297.345,916498
Mujeres;36 años;2062;295.506,399564
Mujeres;36 años;2061;293.915,758534
Mujeres;36 años;2060;292.613,966139
Mujeres;36 años;2059;291.662,111436
Mujeres;36 años;2058;291.639,981617
Mujeres;36 años;2057;293.550,336832
Mujeres;36 años;2056;299.289,8643
Mujeres;36 años;2055;304.050,144722
Mujeres;36 años;2054;312.215,343964
Mujeres;36 años;2053;320.082,168265
Mujeres;36 años;2052;323.187,427253
Mujeres;36 años;2051;324.807,099211
Mujeres;36 años;2050;323.051,83436
Mujeres;36 años;2049;333.479,40422
Mujeres;36 años;2048;341.298,698207
Mujeres;36 años;2047;343.655,767332
Mujeres;36 años;2046;347.999,700765
Mujeres;36 años;2045;360.606,030876
Mujeres;36 años;2044;353.229,211126
Mujeres;36 años;2043;351.862,075805
Mujeres;36 años;2042;347.774,643792
Mujeres;36 años;2041;344.115,61081
Mujeres;36 años;2040;340.670,430071
Mujeres;36 años;2039;331.158,834454
Mujeres;36 años;2038;329.064,874166
Mujeres;36 años;2037;324.863,555312
Mujeres;36 años;2036;318.951,426505
Mujeres;36 años;2035;309.323,356352
Mujeres;36 años;2034;308.962,292181
Mujeres;36 años;2033;303.564,291076
Mujeres;36 años;2032;297.940,022495
Mujeres;36 años;2031;296.072,339995
Mujeres;36 años;2030;299.103,13912
Mujeres;36 años;2029;301.136,039925
Mujeres;36 años;2028;293.717,57763
Mujeres;36 años;2027;292.665,504608
Mujeres;36 años;2026;291.241,862683
Mujeres;36 años;2025;290.730,255609
Mujeres;36 años;2024;289.324,376708
Mujeres;36 años;2023;292.396,033787
Mujeres;36 años;2022;296.889,380434
Mujeres;37 años;2072;321.463,717993
Mujeres;37 años;2071;318.536,921003
Mujeres;37 años;2070;315.648,72741
Mujeres;37 años;2069;312.855,153637
Mujeres;37 años;2068;310.177,581122
Mujeres;37 años;2067;307.632,400576
Mujeres;37 años;2066;305.234,836857
Mujeres;37 años;2065;302.996,357299
Mujeres;37 años;2064;300.923,007846
Mujeres;37 años;2063;299.047,263237
Mujeres;37 años;2062;297.419,383227
Mujeres;37 años;2061;296.079,611066
Mujeres;37 años;2060;295.089,136672
Mujeres;37 años;2059;295.028,419984
Mujeres;37 años;2058;296.902,531701
Mujeres;37 años;2057;302.592,791335
Mujeres;37 años;2056;307.300,794602
Mujeres;37 años;2055;315.403,33197
Mujeres;37 años;2054;323.207,334765
Mujeres;37 años;2053;326.263,010582
Mujeres;37 años;2052;327.842,05109
Mujeres;37 años;2051;326.056,540324
Mujeres;37 años;2050;336.416,723912
Mujeres;37 años;2049;344.170,65496
Mujeres;37 años;2048;346.467,981043
Mujeres;37 años;2047;350.748,421249
Mujeres;37 años;2046;363.264,718022
Mujeres;37 años;2045;355.846,127489
Mujeres;37 años;2044;354.411,641997
Mujeres;37 años;2043;350.267,988785
Mujeres;37 años;2042;346.550,186622
Mujeres;37 años;2041;343.047,41303
Mujeres;37 años;2040;333.499,565288
Mujeres;37 años;2039;331.344,760231
Mujeres;37 años;2038;327.084,992694
Mujeres;37 años;2037;321.130,977719
Mujeres;37 años;2036;311.643,923469
Mujeres;37 años;2035;311.472,621061
Mujeres;37 años;2034;306.337,740001
Mujeres;37 años;2033;300.974,740158
Mujeres;37 años;2032;299.382,375313
Mujeres;37 años;2031;302.678,257077
Mujeres;37 años;2030;305.008,134168
Mujeres;37 años;2029;297.892,243109
Mujeres;37 años;2028;297.024,815676
Mujeres;37 años;2027;295.784,744851
Mujeres;37 años;2026;295.366,306535
Mujeres;37 años;2025;294.013,981733
Mujeres;37 años;2024;297.016,749172
Mujeres;37 años;2023;301.387,535779
Mujeres;37 años;2022;308.730,384514
Mujeres;38 años;2072;322.167,665459
Mujeres;38 años;2071;319.255,813991
Mujeres;38 años;2070;316.436,868166
Mujeres;38 años;2069;313.732,145844
Mujeres;38 años;2068;311.158,023987
Mujeres;38 años;2067;308.729,76621
Mujeres;38 años;2066;306.459,021107
Mujeres;38 años;2065;304.352,058927
Mujeres;38 años;2064;302.441,525474
Mujeres;38 años;2063;300.777,928175
Mujeres;38 años;2062;299.401,781663
Mujeres;38 años;2061;298.374,351513
Mujeres;38 años;2060;298.276,809529
Mujeres;38 años;2059;300.116,471204
Mujeres;38 años;2058;305.760,338308
Mujeres;38 años;2057;310.419,004081
Mujeres;38 años;2056;318.462,697306
Mujeres;38 años;2055;326.207,666211
Mujeres;38 años;2054;329.216,376526
Mujeres;38 años;2053;330.756,765071
Mujeres;38 años;2052;328.942,158046
Mujeres;38 años;2051;339.239,188933
Mujeres;38 años;2050;346.931,720695
Mujeres;38 años;2049;349.172,662112
Mujeres;38 años;2048;353.393,340405
Mujeres;38 años;2047;365.825,458594
Mujeres;38 años;2046;358.366,958445
Mujeres;38 años;2045;356.868,987144
Mujeres;38 años;2044;352.672,131034
Mujeres;38 años;2043;348.898,765634
Mujeres;38 años;2042;345.341,488539
Mujeres;38 años;2041;335.758,800421
Mujeres;38 años;2040;333.546,482403
Mujeres;38 años;2039;329.231,36512
Mujeres;38 años;2038;323.237,3448
Mujeres;38 años;2037;313.745,138302
Mujeres;38 años;2036;313.673,159141
Mujeres;38 años;2035;308.747,458199
Mujeres;38 años;2034;303.633,846389
Mujeres;38 años;2033;302.293,353992
Mujeres;38 años;2032;305.842,389049
Mujeres;38 años;2031;308.440,41617
Mujeres;38 años;2030;301.637,253584
Mujeres;38 años;2029;300.986,234712
Mujeres;38 años;2028;299.945,4622
Mujeres;38 años;2027;299.675,054533
Mujeres;38 años;2026;298.444,308877
Mujeres;38 años;2025;301.434,899929
Mujeres;38 años;2024;305.748,462514
Mujeres;38 años;2023;312.889,753431
Mujeres;38 años;2022;318.820,516468
Mujeres;39 años;2072;322.698,492096
Mujeres;39 años;2071;319.855,257739
Mujeres;39 años;2070;317.124,567225
Mujeres;39 años;2069;314.522,782958
Mujeres;39 años;2068;312.065,190336
Mujeres;39 años;2067;309.763,629532
Mujeres;39 años;2066;307.624,575538
Mujeres;39 años;2065;305.680,837837
Mujeres;39 años;2064;303.983,169565
Mujeres;39 años;2063;302.572,346943
Mujeres;39 años;2062;301.509,720732
Mujeres;39 años;2061;301.377,143295
Mujeres;39 años;2060;303.184,111185
Mujeres;39 años;2059;308.784,198181
Mujeres;39 años;2058;313.396,237719
Mujeres;39 años;2057;321.384,485824
Mujeres;39 años;2056;329.073,801963
Mujeres;39 años;2055;332.038,037662
Mujeres;39 años;2054;333.541,716658
Mujeres;39 años;2053;331.699,303125
Mujeres;39 años;2052;341.936,920255
Mujeres;39 años;2051;349.571,631775
Mujeres;39 años;2050;351.759,373501
Mujeres;39 años;2049;355.923,750563
Mujeres;39 años;2048;368.276,87385
Mujeres;39 años;2047;360.780,540699
Mujeres;39 años;2046;359.222,813097
Mujeres;39 años;2045;354.975,791494
Mujeres;39 años;2044;351.150,060073
Mujeres;39 años;2043;347.541,388029
Mujeres;39 años;2042;337.925,541641
Mujeres;39 años;2041;335.658,968587
Mujeres;39 años;2040;331.291,570565
Mujeres;39 años;2039;325.259,5372
Mujeres;39 años;2038;315.761,752033
Mujeres;39 años;2037;315.653,194543
Mujeres;39 años;2036;310.847,330417
Mujeres;39 años;2035;305.931,599096
Mujeres;39 años;2034;304.830,427411
Mujeres;39 años;2033;308.610,562949
Mujeres;39 años;2032;311.462,822765
Mujeres;39 años;2031;304.941,607802
Mujeres;39 años;2030;304.526,705928
Mujeres;39 años;2029;303.711,976417
Mujeres;39 años;2028;303.608,533341
Mujeres;39 años;2027;302.547,240246
Mujeres;39 años;2026;305.598,173425
Mujeres;39 años;2025;309.907,240863
Mujeres;39 años;2024;316.921,765659
Mujeres;39 años;2023;322.710,009944
Mujeres;39 años;2022;336.650,005008
Mujeres;40 años;2072;323.100,963241
Mujeres;40 años;2071;320.345,56812
Mujeres;40 años;2070;317.717,473263
Mujeres;40 años;2069;315.231,98187
Mujeres;40 años;2068;312.901,101975
Mujeres;40 años;2067;310.731,519519
Mujeres;40 años;2066;308.756,192287
Mujeres;40 años;2065;307.026,106282
Mujeres;40 años;2064;305.582,292866
Mujeres;40 años;2063;304.486,186713
Mujeres;40 años;2062;304.320,303354
Mujeres;40 años;2061;306.096,186635
Mujeres;40 años;2060;311.654,759604
Mujeres;40 años;2059;316.222,563671
Mujeres;40 años;2058;324.158,270378
Mujeres;40 años;2057;331.794,827907
Mujeres;40 años;2056;334.716,819214
Mujeres;40 años;2055;336.185,581808
Mujeres;40 años;2054;334.316,650396
Mujeres;40 años;2053;344.497,979055
Mujeres;40 años;2052;352.077,939727
Mujeres;40 años;2051;354.215,36032
Mujeres;40 años;2050;358.326,506145
Mujeres;40 años;2049;370.605,000404
Mujeres;40 años;2048;363.073,011277
Mujeres;40 años;2047;361.458,991696
Mujeres;40 años;2046;357.164,736671
Mujeres;40 años;2045;353.289,703117
Mujeres;40 años;2044;349.632,618784
Mujeres;40 años;2043;339.985,520377
Mujeres;40 años;2042;337.667,730992
Mujeres;40 años;2041;333.251,008304
Mujeres;40 años;2040;327.182,983224
Mujeres;40 años;2039;317.679,56099
Mujeres;40 años;2038;317.536,179675
Mujeres;40 años;2037;312.719,208742
Mujeres;40 años;2036;307.916,185082
Mujeres;40 años;2035;307.003,912261
Mujeres;40 años;2034;311.002,897091
Mujeres;40 años;2033;314.085,754793
Mujeres;40 años;2032;307.830,179972
Mujeres;40 años;2031;307.629,688987
Mujeres;40 años;2030;307.056,13249
Mujeres;40 años;2029;307.147,784256
Mujeres;40 años;2028;306.269,672223
Mujeres;40 años;2027;309.433,012778
Mujeres;40 años;2026;313.804,685072
Mujeres;40 años;2025;320.749,682401
Mujeres;40 años;2024;326.455,539642
Mujeres;40 años;2023;340.137,565422
Mujeres;40 años;2022;350.333,588935
Mujeres;41 años;2072;323.390,30302
Mujeres;41 años;2071;320.737,254787
Mujeres;41 años;2070;318.225,298361
Mujeres;41 años;2069;315.866,597671
Mujeres;41 años;2068;313.668,02616
Mujeres;41 años;2067;311.662,697627
Mujeres;41 años;2066;309.901,811937
Mujeres;41 años;2065;308.426,640655
Mujeres;41 años;2064;307.298,703549
Mujeres;41 años;2063;307.101,146566
Mujeres;41 años;2062;308.847,453179
Mujeres;41 años;2061;314.366,516057
Mujeres;41 años;2060;318.892,220179
Mujeres;41 años;2059;326.777,915629
Mujeres;41 años;2058;334.364,237838
Mujeres;41 años;2057;337.245,990837
Mujeres;41 años;2056;338.681,469095
Mujeres;41 años;2055;336.787,269998
Mujeres;41 años;2054;346.914,967071
Mujeres;41 años;2053;354.442,821442
Mujeres;41 años;2052;356.532,492368
Mujeres;41 años;2051;360.593,115852
Mujeres;41 años;2050;372.800,697507
Mujeres;41 años;2049;365.235,159275
Mujeres;41 años;2048;363.568,009199
Mujeres;41 años;2047;359.229,243006
Mujeres;41 años;2046;355.307,749045
Mujeres;41 años;2045;351.605,02051
Mujeres;41 años;2044;341.928,599585
Mujeres;41 años;2043;339.562,41854
Mujeres;41 años;2042;335.099,087421
Mujeres;41 años;2041;328.997,023204
Mujeres;41 años;2040;319.488,12423
Mujeres;41 años;2039;319.311,482456
Mujeres;41 años;2038;314.483,671447
Mujeres;41 años;2037;309.669,420792
Mujeres;41 años;2036;308.864,271565
Mujeres;41 años;2035;313.033,892574
Mujeres;41 años;2034;316.333,442467
Mujeres;41 años;2033;310.318,49543
Mujeres;41 años;2032;310.322,814126
Mujeres;41 años;2031;309.966,777753
Mujeres;41 años;2030;310.269,823109
Mujeres;41 años;2029;309.597,662498
Mujeres;41 años;2028;312.891,91326
Mujeres;41 años;2027;317.373,66192
Mujeres;41 años;2026;324.318,774461
Mujeres;41 años;2025;329.991,366442
Mujeres;41 años;2024;343.483,326384
Mujeres;41 años;2023;353.532,826156
Mujeres;41 años;2022;367.023,402974
Mujeres;42 años;2072;323.581,410478
Mujeres;42 años;2071;321.044,428374
Mujeres;42 años;2070;318.659,408899
Mujeres;42 años;2069;316.433,40006
Mujeres;42 años;2068;314.399,652567
Mujeres;42 años;2067;312.609,583622
Mujeres;42 años;2066;311.104,686099
Mujeres;42 años;2065;309.946,557904
Mujeres;42 años;2064;309.718,948074
Mujeres;42 años;2063;311.437,177443
Mujeres;42 años;2062;316.918,673178
Mujeres;42 años;2061;321.404,322988
Mujeres;42 años;2060;329.242,398206
Mujeres;42 años;2059;336.780,876049
Mujeres;42 años;2058;339.624,342864
Mujeres;42 años;2057;341.028,163125
Mujeres;42 años;2056;339.109,990201
Mujeres;42 años;2055;349.186,579622
Mujeres;42 años;2054;356.664,837555
Mujeres;42 años;2053;358.709,215861
Mujeres;42 años;2052;362.721,911639
Mujeres;42 años;2051;374.862,067824
Mujeres;42 años;2050;367.265,080529
Mujeres;42 años;2049;365.547,82574
Mujeres;42 años;2048;361.167,217745
Mujeres;42 años;2047;357.202,033704
Mujeres;42 años;2046;353.456,387012
Mujeres;42 años;2045;343.752,638897
Mujeres;42 años;2044;341.340,866634
Mujeres;42 años;2043;336.833,667943
Mujeres;42 años;2042;330.699,557142
Mujeres;42 años;2041;321.185,626152
Mujeres;42 años;2040;320.977,417804
Mujeres;42 años;2039;316.139,289645
Mujeres;42 años;2038;311.314,352453
Mujeres;42 años;2037;310.499,186481
Mujeres;42 años;2036;314.762,3974
Mujeres;42 años;2035;318.231,70407
Mujeres;42 años;2034;312.442,482374
Mujeres;42 años;2033;312.633,13931
Mujeres;42 años;2032;312.483,448306
Mujeres;42 años;2031;312.977,727744
Mujeres;42 años;2030;312.523,990076
Mujeres;42 años;2029;315.975,815602
Mujeres;42 años;2028;320.584,465301
Mujeres;42 años;2027;327.581,312019
Mujeres;42 años;2026;333.281,982218
Mujeres;42 años;2025;346.640,169414
Mujeres;42 años;2024;356.599,344219
Mujeres;42 años;2023;369.889,454028
Mujeres;42 años;2022;377.191,443645
Mujeres;43 años;2072;323.694,193701
Mujeres;43 años;2071;321.284,104692
Mujeres;43 años;2070;319.031,955563
Mujeres;43 años;2069;316.971,123328
Mujeres;43 años;2068;315.153,222242
Mujeres;43 años;2067;313.619,968353
Mujeres;43 años;2066;312.433,026094
Mujeres;43 años;2065;312.176,719874
Mujeres;43 años;2064;313.868,126901
Mujeres;43 años;2063;319.313,689696
Mujeres;43 años;2062;323.761,001573
Mujeres;43 años;2061;331.553,444784
Mujeres;43 años;2060;339.046,045532
Mujeres;43 años;2059;341.852,784103
Mujeres;43 años;2058;343.226,205501
Mujeres;43 años;2057;341.285,013546
Mujeres;43 años;2056;351.312,473923
Mujeres;43 años;2055;358.743,086415
Mujeres;43 años;2054;360.744,057386
Mujeres;43 años;2053;364.710,802158
Mujeres;43 años;2052;376.786,215432
Mujeres;43 años;2051;369.159,386956
Mujeres;43 años;2050;367.394,395849
Mujeres;43 años;2049;362.974,028595
Mujeres;43 años;2048;358.967,340155
Mujeres;43 años;2047;355.180,910072
Mujeres;43 años;2046;345.451,438968
Mujeres;43 años;2045;342.996,274674
Mujeres;43 años;2044;338.447,396348
Mujeres;43 años;2043;332.282,841311
Mujeres;43 años;2042;322.764,124418
Mujeres;43 años;2041;322.525,526388
Mujeres;43 años;2040;317.677,315511
Mujeres;43 años;2039;312.841,917932
Mujeres;43 años;2038;312.016,676212
Mujeres;43 años;2037;316.262,721412
Mujeres;43 años;2036;319.827,480472
Mujeres;43 años;2035;314.217,774316
Mujeres;43 años;2034;314.584,521514
Mujeres;43 años;2033;314.621,464268
Mujeres;43 años;2032;315.297,569811
Mujeres;43 años;2031;315.040,265189
Mujeres;43 años;2030;318.664,96925
Mujeres;43 años;2029;323.424,052461
Mujeres;43 años;2028;330.493,788344
Mujeres;43 años;2027;336.266,044741
Mujeres;43 años;2026;349.555,510754
Mujeres;43 años;2025;359.466,192177
Mujeres;43 años;2024;372.615,547376
Mujeres;43 años;2023;379.817,083786
Mujeres;43 años;2022;392.479,561992
Mujeres;44 años;2072;323.751,541326
Mujeres;44 años;2071;321.474,494494
Mujeres;44 años;2070;319.387,863709
Mujeres;44 años;2069;317.543,448421
Mujeres;44 años;2068;315.983,16892
Mujeres;44 años;2067;314.768,763855
Mujeres;44 años;2066;314.485,114426
Mujeres;44 años;2065;316.150,994459
Mujeres;44 años;2064;321.562,304372
Mujeres;44 años;2063;325.973,003773
Mujeres;44 años;2062;333.721,846448
Mujeres;44 años;2061;341.170,560187
Mujeres;44 años;2060;343.942,134648
Mujeres;44 años;2059;345.286,439401
Mujeres;44 años;2058;343.323,19258
Mujeres;44 años;2057;353.303,559151
Mujeres;44 años;2056;360.688,489624
Mujeres;44 años;2055;362.647,886317
Mujeres;44 años;2054;366.570,612602
Mujeres;44 años;2053;378.583,954869
Mujeres;44 años;2052;370.928,738343
Mujeres;44 años;2051;369.118,228031
Mujeres;44 años;2050;364.660,042902
Mujeres;44 años;2049;360.613,895702
Mujeres;44 años;2048;356.788,712139
Mujeres;44 años;2047;347.034,99686
Mujeres;44 años;2046;344.538,564437
Mujeres;44 años;2045;339.950,102517
Mujeres;44 años;2044;333.756,671946
Mujeres;44 años;2043;324.233,528981
Mujeres;44 años;2042;323.965,759436
Mujeres;44 años;2041;319.107,839646
Mujeres;44 años;2040;314.262,334156
Mujeres;44 años;2039;313.427,15837
Mujeres;44 años;2038;317.656,314069
Mujeres;44 años;2037;321.211,835134
Mujeres;44 años;2036;315.710,890013
Mujeres;44 años;2035;316.214,180028
Mujeres;44 años;2034;316.427,270804
Mujeres;44 años;2033;317.268,722081
Mujeres;44 años;2032;317.197,680175
Mujeres;44 años;2031;320.978,945546
Mujeres;44 años;2030;325.902,986986
Mujeres;44 años;2029;333.073,963319
Mujeres;44 años;2028;338.935,546824
Mujeres;44 años;2027;352.207,005197
Mujeres;44 años;2026;362.121,425653
Mujeres;44 años;2025;375.173,714672
Mujeres;44 años;2024;382.323,54633
Mujeres;44 años;2023;394.882,319894
Mujeres;44 años;2022;395.747,979901
Mujeres;45 años;2072;323.772,704681
Mujeres;45 años;2071;321.661,491726
Mujeres;45 años;2070;319.791,818056
Mujeres;45 años;2069;318.205,796476
Mujeres;45 años;2068;316.965,228117
Mujeres;45 años;2067;316.655,560497
Mujeres;45 años;2066;318.297,226166
Mujeres;45 años;2065;323.675,975656
Mujeres;45 años;2064;328.051,772009
Mujeres;45 años;2063;335.759,027081
Mujeres;45 años;2062;343.165,841764
Mujeres;45 años;2061;345.903,786774
Mujeres;45 años;2060;347.220,250893
Mujeres;45 años;2059;345.235,902674
Mujeres;45 años;2058;355.171,218415
Mujeres;45 años;2057;362.512,402168
Mujeres;45 años;2056;364.431,962756
Mujeres;45 años;2055;368.312,533151
Mujeres;45 años;2054;380.266,403161
Mujeres;45 años;2053;372.584,080835
Mujeres;45 años;2052;370.730,087822
Mujeres;45 años;2051;366.235,861073
Mujeres;45 años;2050;362.152,139974
Mujeres;45 años;2049;358.290,085105
Mujeres;45 años;2048;348.513,480996
Mujeres;45 años;2047;345.977,784062
Mujeres;45 años;2046;341.351,711141
Mujeres;45 años;2045;335.130,907999
Mujeres;45 años;2044;325.603,756231
Mujeres;45 años;2043;325.308,136259
Mujeres;45 años;2042;320.440,923835
Mujeres;45 años;2041;315.585,769382
Mujeres;45 años;2040;314.740,966665
Mujeres;45 años;2039;318.953,704296
Mujeres;45 años;2038;322.500,0904
Mujeres;45 años;2037;317.008,264251
Mujeres;45 años;2036;317.584,498817
Mujeres;45 años;2035;317.935,98403
Mujeres;45 años;2034;318.934,872866
Mujeres;45 años;2033;319.033,664453
Mujeres;45 años;2032;322.965,817276
Mujeres;45 años;2031;328.039,955164
Mujeres;45 años;2030;335.331,558144
Mujeres;45 años;2029;341.307,503019
Mujeres;45 años;2028;354.587,648929
Mujeres;45 años;2027;364.545,706594
Mujeres;45 años;2026;377.554,474209
Mujeres;45 años;2025;384.686,627824
Mujeres;45 años;2024;397.179,800129
Mujeres;45 años;2023;397.997,637642
Mujeres;45 años;2022;403.619,538679
Mujeres;46 años;2072;323.802,997414
Mujeres;46 años;2071;321.909,230256
Mujeres;46 años;2070;320.298,664783
Mujeres;46 años;2069;319.033,157983
Mujeres;46 años;2068;318.698,719779
Mujeres;46 años;2067;320.317,432107
Mujeres;46 años;2066;325.665,240279
Mujeres;46 años;2065;330.007,750571
